,company,ret
744,GPT,-0.678425276802
495,DNR,-0.452574525745
431,CLR,-0.365894039735
1165,NGL,-0.361111111113
1437,SEMG,-0.350660792952
1200,OAS,-0.350660792952
1333,QEP,-0.3349120433
1470,SM,-0.3349120433
182,AGR,-0.334719334721
930,KMT,-0.334719334721
937,KMI,-0.334522747548
384,CLF,-0.327659574468
575,EGN,-0.312248322148
499,DVN,-0.306756032017
577,ETE,-0.282131661439
692,FET,-0.278752436647
369,XEC,-0.269114400197
1514,SCS,-0.267453294003
949,KOS,-0.264497878359
1545,SYRG,-0.264248704663
1556,TEGP,-0.251640112465
317,CRZO,-0.251328777525
771,HSC,-0.241578440805
784,HQY,-0.240303030303
1046,MDR,-0.236902050114
721,GWR,-0.232342007435
1568,TMH,-0.228104115371
1036,MTDR,-0.225665603491
1301,PPG,-0.225553252819
1378,RMP,-0.223395613323
1170,NE,-0.217939214231
538,DY,-0.213136879991
1508,SPLS,-0.212559740212
637,FMSA,-0.211409395973
704,FULT,-0.209538114908
917,JUNO,-0.208745726111
1068,MTOR,-0.205518553758
1377,RICE,-0.203216374269
343,GTLS,-0.202840656902
350,LNG,-0.202696917808
1484,SWN,-0.20202020202
812,HFC,-0.200767830948
241,BLUE,-0.200647249191
268,BKD,-0.2005197055
308,CAH,-0.199428571429
854,IBTX,-0.198195940866
1485,ONCE,-0.197342781222
1210,OLN,-0.197209302325
855,INFN,-0.193950177936
938,KEX,-0.192573269909
810,HNI,-0.192023302712
1555,TLN,-0.189856957087
939,KITE,-0.189743589744
1292,PII,-0.187464549064
700,FCX,-0.187274909964
790,HLX,-0.184496124031
1037,MATX,-0.183489752922
353,CHK,-0.183303085299
920,KSU,-0.181478194141
1498,FLOW,-0.177666470242
840,IEP,-0.177181208053
366,CIEN,-0.175368672778
277,BLDR,-0.17436661699
1120,NBR,-0.173831168127
525,DOV,-0.173719806763
423,CXO,-0.170226074524
471,CVI,-0.169305467596
1158,NFX,-0.168326947637
885,XON,-0.168046357616
1590,RIG,-0.167638334868
1042,MXL,-0.167326172979
45,A,-0.165279878971
901,JCP,-0.164366373902
865,IPHI,-0.163985148515
161,ASNA,-0.163837011885
697,FELE,-0.162639405206
1034,MTZ,-0.161196911197
1282,PXD,-0.159932998325
945,KNL,-0.159674820974
663,FFIN,-0.159026193459
1524,SPH,-0.158823529411
591,EOG,-0.15776323617
972,TREE,-0.157656382678
762,HAL,-0.157425742576
196,BHI,-0.157231555879
1535,SPN,-0.157071339173
100,AXL,-0.156723063224
1221,OKE,-0.155768572405
850,IMPV,-0.155528878218
878,IBOC,-0.155161078239
609,ESL,-0.15431196492
992,LAD,-0.153815643344
1579,TEN,-0.151856641419
1400,R,-0.150523168909
1206,OIS,-0.148171303532
685,FTI,-0.147266313933
1360,RGC,-0.145614035088
426,COP,-0.145028383081
164,AZPN,-0.144927536232
503,FANG,-0.144501278772
1081,MU,-0.144410876133
1432,SEAS,-0.144139650873
58,AIN,-0.143382352943
1576,TPX,-0.143382352943
818,HMN,-0.143382352943
1144,NTAP,-0.143364546334
1220,OMF,-0.142975036105
1029,MLM,-0.142839211748
1339,QLYS,-0.142301710731
1303,PRAA,-0.1421859545
513,DISCA,-0.14157014157
1091,MINI,-0.141478212907
1070,MEI,-0.140658747301
226,BIG,-0.139894651433
91,AMBC,-0.138226299694
1577,THC,-0.138121546959
1014,MGLN,-0.138121546959
1124,FIZZ,-0.138121546959
1388,ROG,-0.138121546959
1344,RDUS,-0.138121546959
1049,MDC,-0.138121546959
677,FBC,-0.138121546959
923,KATE,-0.138121546959
159,APAM,-0.138121546959
1336,QUAD,-0.138121546959
1580,TDC,-0.137442886443
401,CFX,-0.137102734664
472,CVRR,-0.136798905609
688,FTNT,-0.136565096953
1348,RRC,-0.136487904389
1192,NSH,-0.136382196816
925,KBR,-0.135791908381
1018,MANH,-0.135371749641
368,CMCT,-0.135246415289
70,Y,-0.135138811264
544,EXP,-0.135056791964
1448,SHAK,-0.133479212254
247,BOKF,-0.133352659806
1265,PNR,-0.132270497547
968,LM,-0.131986531985
304,CP,-0.131844002525
289,CACI,-0.131498843297
948,KFY,-0.13113496438
1320,PB,-0.130867446623
506,DBD,-0.130598093037
490,DK,-0.130515898767
1312,PFG,-0.130187756949
