SYMBOL,MKTCAP,SECTOR,INDUSTRY
TWOU,$1B (Small),Information Technology,Internet Software & Services
DDD,$2B (Small),Information Technology,"Technology Hardware, Storage & Peripherals"
MMM,$104B (Large),Industrials,Industrial Conglomerates
JOBS,$2B (Small),Industrials,Professional Services
WUBA,$4B (Mid),Information Technology,Internet Software & Services
EGHT,$1B (Small),Information Technology,Software
AOS,$9B (Mid),Industrials,Building Products
AAON,$2B (Small),Industrials,Building Products
AIR,$1B (Small),Industrials,Aerospace & Defense
AAN,$2B (Small),Consumer Discretionary,Specialty Retail
SKFRY,$8B (Mid),Industrials,Machinery
ABAX,$1B (Small),Health Care,Health Care Equipment & Supplies
ABB,$44B (Large),Industrials,Electrical Equipment
ABT,$56B (Large),Health Care,Health Care Equipment & Supplies
ABBV,$97B (Large),Health Care,Biotechnology
ABMD,$5B (Mid),Health Care,Health Care Equipment & Supplies
ABM,$2B (Small),Industrials,Commercial Services & Supplies
ACIA,$2B (Small),Information Technology,Semiconductors & Semiconductor Equipment
ACHC,$3B (Small),Health Care,Health Care Providers & Services
ACAD,$3B (Small),Health Care,Biotechnology
AKR,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
AXDX,$1B (Small),Health Care,Life Sciences Tools & Services
XLRN,$1B (Small),Health Care,Biotechnology
ACN,$76B (Large),Information Technology,IT Services
ACCO,$1B (Small),Industrials,Commercial Services & Supplies
ACIW,$2B (Small),Information Technology,Software
ATVI,$27B (Large),Information Technology,Software
ATU,$2B (Small),Industrials,Machinery
AYI,$11B (Mid),Industrials,Electrical Equipment
GOLF,$1B (Small),Consumer Discretionary,Leisure Products
ACXM,$2B (Small),Information Technology,IT Services
AGRO,$1B (Small),Consumer Staples,Food Products
ADNT,$5B (Mid),Consumer Discretionary,Auto Components
ADBE,$50B (Large),Information Technology,Software
AAP,$13B (Mid),Consumer Discretionary,Specialty Retail
AAAP,$1B (Small),Health Care,Biotechnology
ADSW,$2B (Small),Industrials,Commercial Services & Supplies
WMS,$1B (Small),Industrials,Building Products
AEIS,$2B (Small),Information Technology,Semiconductors & Semiconductor Equipment
AVIFY,$12B (Mid),Telecommunication Services,Wireless Telecommunication Services
AMD,$8B (Mid),Information Technology,Semiconductors & Semiconductor Equipment
ASX,$8B (Mid),Information Technology,Semiconductors & Semiconductor Equipment
APFH,$2B (Small),Consumer Staples,Food Products
AAV,$1B (Small),Energy,"Oil, Gas & Consumable Fuels"
ATEYY,$2B (Small),Information Technology,Semiconductors & Semiconductor Equipment
ABCO,$1B (Small),Industrials,Professional Services
ACM,$6B (Mid),Industrials,Construction & Engineering
AEG,$10B (Mid),Financials,Insurance
AER,$9B (Mid),Industrials,Trading Companies & Distributors
AERI,$1B (Small),Health Care,Pharmaceuticals
AJRD,$1B (Small),Industrials,Aerospace & Defense
AES,$7B (Mid),Utilities,Independent Power and Renewable Electricity Producers
AET,$47B (Large),Health Care,Health Care Providers & Services
AMG,$8B (Mid),Financials,Capital Markets
AFL,$28B (Large),Financials,Insurance
AGCO,$5B (Mid),Industrials,Machinery
A,$14B (Mid),Health Care,Life Sciences Tools & Services
AGIO,$2B (Small),Health Care,Biotechnology
AGNC,$6B (Mid),Financials,Mortgage Real Estate Investment Trusts (REITs)
AEM,$9B (Mid),Materials,Metals & Mining
AGU,$14B (Mid),Materials,Chemicals
AIMT,$1B (Small),Health Care,Biotechnology
AFLYY,$2B (Small),Industrials,Airlines
AL,$4B (Small),Industrials,Trading Companies & Distributors
AIRM,$1B (Small),Health Care,Health Care Providers & Services
APD,$31B (Large),Materials,Chemicals
AYR,$2B (Small),Industrials,Trading Companies & Distributors
AKS,$3B (Small),Materials,Metals & Mining
AKAM,$11B (Mid),Information Technology,Internet Software & Services
AKRX,$2B (Small),Health Care,Pharmaceuticals
AKZOY,$15B (Mid),Materials,Chemicals
ALRM,$1B (Small),Information Technology,Internet Software & Services
ALK,$10B (Mid),Industrials,Airlines
AIN,$2B (Small),Industrials,Machinery
ALB,$10B (Mid),Materials,Chemicals
AA,$5B (Mid),Materials,Metals & Mining
ALDR,$1B (Small),Health Care,Biotechnology
ALR,$3B (Small),Health Care,Health Care Equipment & Supplies
ALEX,$2B (Small),Real Estate,Real Estate Management & Development
ALX,$2B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
ARE,$9B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
ALXN,$28B (Large),Health Care,Biotechnology
BABA,$224B (Large),Information Technology,Internet Software & Services
ALGN,$7B (Mid),Health Care,Health Care Equipment & Supplies
ALKS,$9B (Mid),Health Care,Biotechnology
Y,$9B (Mid),Financials,Insurance
ATI,$2B (Small),Materials,Metals & Mining
ALGT,$3B (Small),Industrials,Airlines
ALLE,$6B (Mid),Industrials,Building Products
AGN,$71B (Large),Health Care,Pharmaceuticals
ALE,$3B (Small),Utilities,Electric Utilities
ADS,$13B (Mid),Information Technology,IT Services
