,category,company
0,plus_ten,TWOU
1,minus_five,DDD
2,plus_five,MMM
3,plus_five,EGHT
4,plus_five,AOS
5,minus_five,AAON
6,plus_five_ten,AIR
7,plus_five,AAN
8,plus_five,ABAX
9,plus_five,ABB
10,minus_five,ABT
11,plus_five,ABBV
12,plus_five,ABMD
13,minus_five_ten,ABM
14,plus_five,ACIA
15,plus_five,ACHC
16,plus_ten,ACAD
17,minus_five,AKR
18,plus_ten,AXDX
19,plus_ten,XLRN
20,minus_five,ACN
21,plus_five,ACCO
22,minus_five_ten,ACIW
23,plus_five,ATVI
24,minus_five,ATU
25,minus_five,AYI
26,plus_five,GOLF
27,minus_five_ten,ACXM
28,minus_five,ADBE
29,minus_five_ten,AAP
30,plus_five,ADSW
31,plus_five,WMS
32,plus_five,AEIS
33,plus_five,AMD
34,minus_five,APFH
35,minus_five_ten,ABCO
36,plus_five,ACM
37,minus_five,AER
38,plus_ten,AERI
39,minus_ten,AJRD
40,plus_five,AES
41,plus_five,AET
42,plus_five_ten,AMG
43,plus_five,AFL
44,plus_five,AGCO
45,minus_five,A
46,plus_five,AGIO
47,minus_five,AGNC
48,plus_five_ten,AIMT
49,minus_five,AL
50,minus_five_ten,AIRM
51,minus_five_ten,APD
52,plus_five,AYR
53,minus_ten,AKS
54,minus_five_ten,AKAM
55,plus_five_ten,AKRX
56,minus_five_ten,ALRM
57,minus_five,ALK
58,plus_five,AIN
59,plus_five_ten,ALB
60,plus_five,AA
61,plus_ten,ALDR
62,plus_ten,ALR
63,plus_five,ALEX
64,plus_five,ALX
65,minus_five,ARE
66,plus_five,ALXN
67,plus_five,BABA
68,minus_five,ALGN
69,plus_five,ALKS
70,plus_five,Y
71,plus_ten,ATI
72,plus_ten,ALGT
73,minus_five,ALLE
74,minus_five,AGN
75,plus_five,ALE
76,plus_five,ADS
77,plus_ten,AHGP
78,minus_ten,ARLP
79,plus_five,AB
80,minus_five_ten,LNT
81,plus_five,AWH
82,minus_five_ten,ALSN
83,minus_five,MDRX
84,plus_five,ALL
85,plus_five,ALLY
86,minus_ten,ALNY
87,plus_ten,GOOGL
88,plus_five_ten,MO
89,plus_five_ten,AMAG
90,plus_five,AMZN
91,plus_five,AMBC
92,plus_five,AMBA
93,minus_five_ten,AMC
94,plus_five,AMCX
95,minus_five_ten,AMED
96,plus_five,UHAL
97,minus_five,AEE
98,minus_five,AAL
99,minus_five,AAT
100,plus_five,AXL
101,plus_five,ACC
102,minus_five,AEO
103,minus_five,AEP
104,minus_ten,AEL
105,plus_five,AXP
106,plus_five,AFG
107,minus_five,AMH
108,plus_five_ten,AIG
109,plus_five,ANAT
110,minus_five,AWR
111,plus_five_ten,AMT
112,plus_five,AWK
113,minus_five_ten,AMWD
114,minus_five,APU
115,plus_five,AMP
116,plus_five,ABCB
117,plus_five,AMSF
118,plus_five,ABC
119,plus_five,AME
120,plus_five,AMGN
121,plus_five,AMKR
122,plus_five,APH
123,plus_five,AFSI
124,plus_five,APC
125,minus_five,ADI
126,minus_five_ten,ALOG
127,minus_five_ten,ANDE
128,minus_ten,AXE
129,plus_five,NLY
130,minus_five,ANSS
131,plus_five,AM
132,plus_five,AR
133,plus_five,ANTM
134,plus_five,AON
135,plus_five,APA
136,plus_five,AIV
137,plus_five,APOG
138,plus_five,ARI
139,plus_five,APO
140,plus_five,APLE
141,plus_five,AAPL
142,minus_five_ten,AIT
143,minus_five,AMAT
144,plus_five,ATR
145,plus_five,WTR
146,plus_five,ARMK
147,minus_five,ACGL
148,plus_five,ARCH
149,plus_five,ADM
150,plus_five,ARNC
151,minus_five_ten,ARES
152,plus_five,AGII
153,plus_five,ARIA
154,minus_five,AWI
155,minus_ten,ARRY
156,minus_ten,ARRS
157,plus_five_ten,ARW
158,plus_five,AJG
159,plus_five,APAM
160,plus_five,ABG
161,minus_ten,ASNA
162,plus_five,ASH
163,plus_five_ten,AHL
164,minus_ten,AZPN
165,minus_five_ten,ASB
166,minus_five_ten,AIZ
167,minus_five,AGO
168,plus_five,ASTE
169,minus_five,AF
170,plus_five,AZN
171,plus_five,T
172,plus_ten,ATHN
173,minus_ten,AAWW
174,plus_five,ATO
175,plus_ten,ATNI
176,minus_five_ten,ADSK
177,plus_five,ALV
178,minus_five,ADP
179,plus_five_ten,AN
180,minus_five,AZO
181,plus_five,AVB
182,plus_five_ten,AGR
183,plus_five,AVY
184,plus_five,AVXS
185,minus_five,CAR
186,plus_five,AVA
187,minus_five_ten,AVT
188,plus_five,AVP
189,minus_ten,AVX
190,plus_five_ten,AXTA
191,plus_five,AXS
192,plus_ten,AXON
193,plus_five_ten,AZZ
194,plus_five,BGS
195,minus_five,BEAV
196,minus_ten,BHI
197,minus_five_ten,BCPC
198,plus_five,BLL
199,plus_five,BANF
200,plus_five,BBVA
201,plus_five,BXS
202,plus_five,BAC
203,minus_five,BOH
204,plus_five,BMO
205,minus_five,BK
206,minus_five_ten,OZRK
207,minus_five,BKU
208,minus_ten,BANR
209,plus_five,BCS
210,minus_five_ten,B
211,minus_five,CUDA
212,plus_five_ten,BATS
213,plus_five,BAX
214,minus_five,BBT
215,plus_five,BECN
216,plus_five,BDX
217,plus_five,BBBY
218,minus_ten,BGNE
219,minus_five,BDC
220,minus_five_ten,BMS
221,plus_five,BHE
222,plus_five,BNCL
223,plus_five,BERY
224,minus_five,BBY
225,plus_five,BGCP
226,plus_five,BIG
227,plus_five,BIO
228,plus_five,TECH
229,plus_five_ten,BIIB
230,minus_five_ten,BMRN
231,plus_five,BKH
232,plus_five,BKFS
233,minus_five_ten,BSM
234,plus_five_ten,BLKB
235,plus_five,HAWK
236,minus_five_ten,BLK
237,minus_five_ten,BX
238,minus_five_ten,BXMT
239,plus_five,BLMN
240,plus_five_ten,BUFF
241,minus_five,BLUE
242,plus_ten,BMCH
243,plus_five,BNCN
244,minus_five,BWP
245,plus_five,BA
246,plus_five,BOFI
247,plus_five_ten,BOKF
248,plus_five_ten,BAH
249,plus_five,BWA
250,plus_ten,SAM
251,plus_five,BPFH
252,minus_five,BXP
253,plus_five,BSX
254,plus_five,BOX
255,plus_five,BYD
256,plus_five,BRC
257,plus_five,BDN
258,plus_five,BFAM
259,plus_ten,EAT
260,minus_five,BCO
261,plus_five,BMY
262,plus_five,BTI
263,plus_five,BRX
264,minus_five,AVGO
265,plus_five,BR
266,plus_five_ten,BSFT
267,minus_five,BRCD
268,minus_ten,BKD
269,plus_five,BAM
270,plus_five,BPY
271,minus_five,BRO
